Simulation_number,Number_of_classes,Gsquared,AIC,BIC,NFI,NNFI,RMSEA
1,1,204.6558793,216.6558793,241.94352789053318,0,0,0.07205061156484219
1,2,138.8294573,164.8294573,219.6193625794885,0.32164442196897103,0.314178468191886,0.05966824021017847
1,3,65.0883466,105.0883466,189.38050856844382,0.6819619997107994,0.8017017578589793,0.0320846350415746
1,4,37.09362933,91.09362933,204.88804798739918,0.818751215665662,0.9882728694535633,0.0078024959394908675
1,5,27.94835773,95.94835773,239.2450330763545,0.8634373083949805,1.0139989076171398,NA
1,6,22.27452569,104.27452569,277.0734577253099,0.8911610760160557,0.9951829137499905,0.005000689422318482
2,1,218.676091,230.676091,255.96373959053318,0,0,0.07539372471032989
2,2,133.2336519,159.2336519,214.0235571794885,0.39072602180363647,0.4131082550356812,0.05775827310632174
2,3,85.63432941,125.63432941,209.9264913784438,0.6083964688668229,0.6504413638435272,0.0445753967741909
2,4,56.01865766,110.01865766,223.81307631739918,0.7438281551319664,0.8039524102443406,0.03338227674348974
2,5,42.2204649,110.2204649,253.5171402463545,0.8069269269131027,0.839277090760439,0.03022554162845502
2,6,33.21326646,115.21326646,288.01219849530986,0.8481166079560111,0.8203039557036297,0.031959829809354204
3,1,183.9902965,195.9902965,221.27794509053314,0,0,0.066818630155554
3,2,125.1419253,151.1419253,205.9318305794885,0.3198449718243701,0.32544613877643797,0.054878961477287914
3,3,72.70615143,112.70615143,196.99831339844383,0.604837033185606,0.6899139324159049,0.037208202893792605
3,4,39.07443441,93.07443441000001,206.8688530673992,0.7876277436728844,0.9616675083320244,0.013082209296093699
3,5,24.88925617,92.88925617,236.18593151635451,0.8647251695145781,1.063624844538879,NA
3,6,13.81002965,95.81002965,268.60896168530985,0.9249415327182757,1.1670951971837542,NA
4,1,186.2421861,198.2421861,223.52983469053316,0,0,0.0674084664568818
4,2,114.2731266,140.2731266,195.0630318794885,0.38642726982036857,0.4330692900280491,0.05075507086426807
4,3,64.4648324,104.4648324,188.75699436844383,0.6538655728332862,0.7798444660963457,0.031628547670259514
4,4,31.61322412,85.61322412,199.4076427773992,0.8302574471337779,1.053741960626482,NA
4,5,23.90060097,91.90060097,235.1972763163545,0.871669241698189,1.077551742326478,NA
4,6,17.5358781,99.5358781,272.33481013530985,0.9058436841447707,1.0894919403845982,NA
5,1,164.731963,176.731963,202.01961159053315,0,0,0.06154383937912901
5,2,109.0411191,135.0411191,189.8310243794885,0.33806944861089283,0.37523763700472074,0.048645426496620174
5,3,52.39395229,92.39395229,176.6861142584438,0.6819442242062034,0.8844126846141418,0.02092375732821024
5,4,31.93246956,85.93246956,199.72688821739916,0.8061549866919269,1.0597803692670114,NA
5,5,25.03549147,93.03549147,236.33216681635452,0.8480228668798173,1.0723305289564837,NA
5,6,21.40635436,103.40635436,276.2052863953099,0.8700534251510134,1.0142769317723703,NA
6,1,219.8509814,231.8509814,257.13862999053316,0,0,0.07566716965722246
6,2,150.4664068,176.4664068,231.25631207948848,0.3155982027378842,0.29670854441654604,0.06345636052739524
6,3,87.90596987,127.90596987,212.19813183844383,0.6001565728284713,0.6344724625665201,0.04574751831804506
6,4,46.66493013,100.66493013,214.45934878739916,0.7877429073418728,0.8963092563070056,0.024365620971030913
6,5,34.45869475,102.45869475,245.7553700963545,0.8432634026440602,0.934116708697024,0.019422052908353984
6,6,26.23872911,108.23872911000001,281.03766114530987,0.8806522084053794,0.93256312187628,0.01964971329218139
7,1,194.1407116,206.1407116,231.42836019053317,0,0,0.06943772741788412
7,2,116.7365084,142.7365084,197.52641367948848,0.3987015529204437,0.4452440950000146,0.05171856490576497
7,3,57.46957778,97.46957778000001,181.76173974844383,0.7039797716492968,0.8601392476388395,0.025968294559309373
7,4,34.06246454,88.06246454000001,201.85688319739918,0.8245475446171178,1.0223694659488214,NA
7,5,26.26030474,94.26030474,237.5569800863545,0.8647357139902437,1.0392656433441985,NA
7,6,19.02555328,101.02555328,273.82448531530986,0.9020012179660725,1.056194261772175,NA
8,1,206.4259622,218.4259622,243.71361079053315,0,0,0.0724811924851682
8,2,142.3782625,168.3782625,223.1681677794885,0.31026959505193474,0.29522810026114715,0.060848463999860214
8,3,86.86521722,126.86521722,211.15737918844383,0.5791943208391642,0.6108647052113982,0.04521428230154092
8,4,44.67948982,98.67948982,212.47390847739916,0.7835568290740902,0.9080312059162812,0.021980905333663214
8,5,36.0775914,104.0775914,247.37426674635452,0.8252274519372448,0.9069028720355936,0.022115332409423483
8,6,29.07545734,111.07545734,283.8743893753099,0.8591482533004756,0.8773180612348404,0.025387249149607032
9,1,198.5188119,210.5188119,235.80646049053314,0,0,0.07053739004355587
9,2,121.4875541,147.4875541,202.2774593794885,0.3880300162122822,0.42413442721956596,0.05352786778173139
9,3,67.58148007,107.58148007,191.87364203844382,0.6595714057363851,0.76974967346422285,0.03384694795976421
9,4,47.29692519,101.29692519,215.09134384739917,0.7617509155060584,0.873608335334675,0.02507717456909246
9,5,40.3261079,108.3261079,251.62278324635452,0.796865055185231,0.8426946915657904,0.027976351480124263
9,6,32.51362624,114.51362624000001,287.31255827530987,0.8362189158356533,0.8075178173281685,0.030946722004794754
10,1,150.5199752,162.5199752,187.80762379053317,0,0,0.057340898107616584
10,2,101.8101392,127.8101392,182.60004447948847,0.3236104439645165,0.3684391108777797,0.04556927347863625
10,3,49.44241263,89.44241263,173.73457459844383,0.6715225832032956,0.9086832272439657,0.01732765403216154
10,4,33.55175663,87.55175663,201.34617528739918,0.7770943252852729,1.041449811417757,NA
10,5,25.51891982,93.51891982000001,236.8155951663545,0.8304615730497409,1.0731621570448597,NA
